Id,Class,timeset,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,pageranks,componentnumber,strongcompnum,modularity_class,stat_inf_class,clustering,eigencentrality,behavior
7589,-1,,15,4,19,-56,5,-51,7,0.267414,0.278243,0.000188,0.011505,0.001364,,0,506,6,96,0.171429,0.063283,1
7576,-1,,6,2,8,-31,-20,-51,7,0.253965,0.262239,0.000284,0.0029,0.000351,,0,506,76,52,0.3,0.013802,0
7596,-1,,9,7,16,-69,20,-49,6,0.303475,0.319073,0.000261,0.007936,0.005455,,0,506,2,48,0.155556,0.044794,1
7590,-1,,8,6,14,-57,9,-48,6,0.298352,0.315034,0.000508,0.012744,0.011449,,0,506,7,45,0.232143,0.068084,1
7591,-1,,17,13,30,-59,17,-42,6,0.300072,0.316004,0.001065,0.017563,0.010499,,0,506,13,25,0.163399,0.079906,1
7595,-1,,47,53,100,-64,23,-41,6,0.345187,0.371146,0.005656,0.052248,0.049369,,0,506,13,40,0.105786,0.269165,1
7585,-1,,7,6,13,-47,6,-41,6,0.298209,0.315835,8e-06,0.016814,0.014296,,0,506,15,87,0.696429,0.085375,1
7518,-1,,6,9,15,-17,-24,-41,6,0.315404,0.331906,0.000706,0.010483,0.011634,,0,506,8,93,0.319444,0.046144,1
7544,-1,,3,2,5,-20,-20,-40,6,0.287722,0.300876,1e-06,0.006442,0.002296,,0,506,19,74,0.5,0.02461,0
7529,-1,,3,3,6,-19,-19,-38,7,0.26137,0.271185,3e-06,0.001005,0.001029,,0,506,1,81,0.0,0.005561,1
7587,-1,,5,5,10,-50,13,-37,7,0.272549,0.284701,3.2e-05,0.004925,0.002382,,0,506,2,3,0.366667,0.027427,0
7583,-1,,8,2,10,-42,5,-37,7,0.249401,0.258179,2.7e-05,0.020925,0.000395,,0,506,1,84,0.428571,0.104433,0
7568,-1,,6,3,9,-29,-8,-37,6,0.280087,0.292416,9e-06,0.014821,0.00556,,0,506,13,15,0.5,0.077987,0
188,-1,,39,46,85,41,-77,-36,6,0.341911,0.364718,0.002005,0.047141,0.041619,,0,506,8,94,0.106029,0.238824,0
7553,-1,,9,9,18,-23,-12,-35,6,0.298471,0.311756,8.4e-05,0.006349,0.008884,,0,506,14,42,0.136364,0.029851,0
7581,-1,,6,2,8,-35,2,-33,7,0.282643,0.295759,0.000127,0.008682,0.003998,,0,506,13,65,0.380952,0.044114,1
7579,-1,,10,4,14,-34,4,-30,6,0.306528,0.319158,0.000104,0.01587,0.005408,,0,506,1,4,0.222222,0.071083,1
7574,-1,,3,0,3,-30,0,-30,0,0.0,0.0,0.0,0.0073,0.0,,0,13,23,75,0.333333,0.036796,-1
7572,-1,,3,0,3,-30,0,-30,0,0.0,0.0,0.0,0.004079,0.0,,0,24,81,85,0.333333,0.021505,-1
7582,-1,,7,3,10,-36,7,-29,6,0.292734,0.307224,6.2e-05,0.008495,0.004017,,0,506,2,91,0.285714,0.044909,0
7567,-1,,3,0,3,-29,0,-29,0,0.0,0.0,0.0,0.008783,0.0,,0,84,22,44,0.5,0.039144,-1
1134,-1,,5,10,15,6,-35,-29,6,0.30377,0.318624,0.000479,0.004831,0.01029,,0,506,3,56,0.145455,0.027791,1
272,-1,,34,44,78,30,-59,-29,6,0.361017,0.385206,0.005223,0.044805,0.048143,,0,506,11,97,0.131313,0.227743,1
7578,-1,,6,2,8,-33,5,-28,6,0.285834,0.300409,1.2e-05,0.014088,0.003994,,0,506,13,41,0.380952,0.060805,0
7575,-1,,6,2,8,-30,2,-28,7,0.266198,0.277469,5e-06,0.010416,0.002629,,0,506,15,70,0.466667,0.051969,0
7573,-1,,3,2,5,-30,2,-28,7,0.276246,0.287951,7e-06,0.007267,0.003475,,0,506,7,78,0.333333,0.037661,0
7603,-1,,93,66,159,-213,186,-27,6,0.371431,0.399355,0.012167,0.075794,0.062913,,0,506,11,97,0.080824,0.386183,0
7588,-1,,19,14,33,-54,27,-27,6,0.322295,0.340637,0.000747,0.032372,0.018159,,0,506,7,42,0.256917,0.161973,1
7531,-1,,3,5,8,-19,-8,-27,6,0.293215,0.307571,4.3e-05,0.003396,0.004718,,0,506,14,74,0.3,0.008632,0
7580,-1,,15,2,17,-35,9,-26,7,0.264283,0.273403,5.3e-05,0.021364,0.001279,,0,506,2,93,0.257143,0.103247,1
7566,-1,,4,3,7,-29,3,-26,7,0.290375,0.305176,1e-06,0.006815,0.007203,,0,506,14,24,0.5,0.034494,0
7563,-1,,5,2,7,-28,2,-26,6,0.309669,0.32224,6e-06,0.014406,0.007148,,0,506,14,27,0.8,0.072395,1
7557,-1,,4,0,4,-26,0,-26,0,0.0,0.0,0.0,0.005446,0.0,,0,25,1,50,0.0,0.029858,-1
7559,-1,,4,0,4,-26,0,-26,0,0.0,0.0,0.0,0.007313,0.0,,0,70,16,80,0.833333,0.030323,-1
7556,-1,,6,0,6,-25,0,-25,0,0.0,0.0,0.0,0.004488,0.0,,0,6,14,61,0.2,0.023812,-1
7519,-1,,3,2,5,-17,-8,-25,7,0.25,0.259488,2.8e-05,0.00077,0.00072,,0,506,6,52,0.0,0.006344,1
7558,-1,,6,4,10,-26,2,-24,7,0.242352,0.250843,0.000677,0.010516,0.000656,,0,506,12,55,0.166667,0.046056,1
7521,-1,,6,4,10,-17,-7,-24,6,0.288453,0.301183,3.4e-05,0.007043,0.002891,,0,506,14,74,0.285714,0.027053,0
7565,-1,,46,43,89,-29,6,-23,6,0.354561,0.378912,0.003379,0.050676,0.050978,,0,506,15,42,0.142534,0.257824,0
7555,-1,,3,2,5,-25,2,-23,6,0.291822,0.303336,2e-06,0.006407,0.003063,,0,506,1,81,0.666667,0.028274,0
7550,-1,,30,21,51,-22,-1,-23,6,0.32108,0.3394,0.002902,0.025067,0.013263,,0,506,14,94,0.073118,0.141902,0
7502,-1,,3,2,5,-12,-11,-23,7,0.257685,0.26744,0.000491,0.003225,0.001628,,0,506,13,30,0.0,0.019397,0
7549,-1,,3,0,3,-21,0,-21,0,0.0,0.0,0.0,0.001539,0.0,,0,126,66,80,0.0,0.010102,-1
7548,-1,,3,1,4,-21,1,-20,7,0.274224,0.285208,0.0,0.008705,0.002413,,0,506,7,69,1.0,0.042919,1
7543,-1,,2,0,2,-20,0,-20,0,0.0,0.0,0.0,0.005541,0.0,,0,201,56,44,0.0,0.022097,-1
7542,-1,,2,0,2,-20,0,-20,0,0.0,0.0,0.0,0.004941,0.0,,0,72,57,44,0.0,0.022048,-1
7537,-1,,2,0,2,-20,0,-20,0,0.0,0.0,0.0,0.002813,0.0,,0,92,62,24,0.0,0.017,-1
7534,-1,,2,0,2,-20,0,-20,0,0.0,0.0,0.0,0.003833,0.0,,0,26,63,23,1.0,0.021367,-1
7545,-1,,2,0,2,-20,0,-20,0,0.0,0.0,0.0,0.00146,0.0,,0,83,77,74,0.0,0.007206,-1
7539,-1,,2,0,2,-20,0,-20,0,0.0,0.0,0.0,0.00115,0.0,,0,7,90,49,0.0,0.005459,-1
7476,-1,,1,1,2,-10,-10,-20,7,0.241306,0.248403,0.0,0.000435,0.000429,,0,506,105,47,0.0,0.002077,0
7461,-1,,1,1,2,-10,-10,-20,7,0.256626,0.266321,0.0,0.001166,0.001233,,0,506,123,40,0.0,0.006452,1
7466,-1,,1,1,2,-10,-10,-20,8,0.195085,0.19939,0.0,1.5e-05,0.000248,,0,506,124,55,0.0,0.001123,1
7546,-1,,3,3,6,-21,3,-18,7,0.256943,0.265548,2.3e-05,0.000529,0.000528,,0,506,8,26,0.0,0.003119,0
7541,-1,,2,2,4,-20,2,-18,7,0.237965,0.245955,1e-06,0.000413,0.000365,,0,506,13,12,0.0,0.002083,0
7527,-1,,3,1,4,-19,1,-18,7,0.219354,0.225447,1e-06,0.001923,0.00011,,0,506,13,53,0.0,0.00702,0
179,-1,,21,37,58,43,-61,-18,6,0.359218,0.383738,0.00217,0.027406,0.045673,,0,506,8,53,0.138462,0.133176,0
7554,-1,,4,5,9,-23,6,-17,6,0.296065,0.311863,1.9e-05,0.010636,0.008755,,0,506,13,57,0.433333,0.054663,0
7547,-1,,3,2,5,-21,4,-17,7,0.274787,0.284693,0.0,0.002977,0.001744,,0,506,11,54,0.666667,0.014072,0
7528,-1,,4,2,6,-19,2,-17,6,0.288342,0.303607,5e-06,0.007266,0.006545,,0,506,15,19,0.166667,0.037273,1
7509,-1,,8,4,12,-14,-3,-17,6,0.301424,0.317258,6.7e-05,0.009948,0.008237,,0,506,13,12,0.053571,0.052279,0
2396,-1,,2,3,5,2,-19,-17,7,0.268141,0.27976,4e-06,0.002616,0.00276,,0,506,65,28,0.5,0.013548,0
7577,-1,,13,8,21,-33,17,-16,6,0.30756,0.320038,0.000128,0.021775,0.008474,,0,506,8,19,0.262821,0.110924,1
7551,-1,,5,4,9,-22,6,-16,7,0.274787,0.286325,0.000255,0.008087,0.002649,,0,506,13,93,0.160714,0.041548,0
7538,-1,,2,3,5,-20,4,-16,7,0.303303,0.315615,6e-06,0.005912,0.006376,,0,506,14,61,0.25,0.029817,0
7533,-1,,2,2,4,-20,4,-16,7,0.26328,0.272238,5e-06,0.001277,0.001167,,0,506,2,17,0.0,0.006526,1
7524,-1,,4,2,6,-18,2,-16,7,0.257809,0.267127,1.8e-05,0.000918,0.000818,,0,506,2,12,0.083333,0.005545,0
7428,-1,,3,3,6,-8,-8,-16,7,0.291573,0.304464,6.7e-05,0.005559,0.004789,,0,506,8,81,0.0,0.024354,1
7398,-1,,8,8,16,-4,-12,-16,7,0.302056,0.315562,5.2e-05,0.015386,0.006752,,0,506,8,48,0.17033,0.064051,1
7561,-1,,4,4,8,-28,13,-15,7,0.243628,0.252945,6.7e-05,0.000334,0.000427,,0,506,2,12,0.0,0.002956,1
7526,-1,,3,2,5,-19,4,-15,7,0.285878,0.297,1e-06,0.005333,0.003545,,0,506,8,84,0.666667,0.029554,1
7440,-1,,2,2,4,-9,-6,-15,7,0.267471,0.277053,0.0,0.001865,0.002607,,0,506,14,48,1.0,0.012886,0
2244,-1,,2,7,9,2,-17,-15,6,0.309874,0.322467,0.000243,0.003664,0.010882,,0,506,8,49,0.071429,0.018688,0
7569,-1,,5,4,9,-30,16,-14,6,0.288164,0.301877,0.000107,0.002789,0.003025,,0,506,2,71,0.166667,0.015222,1
7516,-1,,5,2,7,-15,2,-13,7,0.282792,0.294503,4e-06,0.013867,0.002912,,0,506,13,33,0.55,0.067071,0
7515,-1,,2,1,3,-15,2,-13,6,0.281074,0.295267,5e-06,0.001438,0.002936,,0,506,13,28,0.0,0.007631,1
7505,-1,,4,0,4,-13,0,-13,0,0.0,0.0,0.0,0.006159,0.0,,0,20,7,8,0.666667,0.033298,-1
3079,-1,,1,3,4,1,-14,-13,7,0.27507,0.286499,0.0,0.001166,0.002939,,0,506,13,93,0.666667,0.006452,1
1522,-1,,4,5,9,4,-17,-13,6,0.303868,0.322729,9.5e-05,0.008453,0.004952,,0,506,1,24,0.1,0.045339,1
1568,-1,,4,5,9,4,-17,-13,7,0.299209,0.312871,6e-06,0.006659,0.00801,,0,506,15,27,0.1,0.033847,0
7511,-1,,4,3,7,-15,3,-12,7,0.265858,0.275436,1.5e-05,0.001339,0.001289,,0,506,8,20,0.25,0.007738,1
7571,-1,,6,4,10,-30,19,-11,8,0.203189,0.208096,0.000213,0.002908,0.000138,,0,506,76,52,0.236111,0.013708,-1
7540,-1,,4,2,6,-20,9,-11,7,0.274264,0.285386,7e-06,0.008694,0.002519,,0,506,14,61,0.25,0.04527,1
7500,-1,,3,1,4,-12,1,-11,8,0.220036,0.226076,0.0,0.005055,0.000208,,0,506,7,13,0.5,0.028053,0
7485,-1,,2,0,2,-11,0,-11,0,0.0,0.0,0.0,0.006616,0.0,,0,209,21,44,1.0,0.031021,-1
7484,-1,,5,0,5,-11,0,-11,0,0.0,0.0,0.0,0.00629,0.0,,0,18,7,8,0.65,0.034243,-1
7496,-1,,2,0,2,-11,0,-11,0,0.0,0.0,0.0,0.003897,0.0,,0,107,30,44,0.0,0.016349,-1
7489,-1,,2,0,2,-11,0,-11,0,0.0,0.0,0.0,0.003897,0.0,,0,106,37,44,0.0,0.016349,-1
7487,-1,,2,0,2,-11,0,-11,0,0.0,0.0,0.0,0.003897,0.0,,0,105,38,44,0.0,0.016349,-1
7495,-1,,2,0,2,-11,0,-11,0,0.0,0.0,0.0,0.003897,0.0,,0,104,39,44,0.0,0.016349,-1
7494,-1,,2,0,2,-11,0,-11,0,0.0,0.0,0.0,0.003897,0.0,,0,103,40,44,0.0,0.016349,-1
7493,-1,,2,0,2,-11,0,-11,0,0.0,0.0,0.0,0.003897,0.0,,0,102,41,44,0.0,0.016349,-1
7492,-1,,2,0,2,-11,0,-11,0,0.0,0.0,0.0,0.003897,0.0,,0,101,42,44,0.0,0.016349,-1
7491,-1,,2,0,2,-11,0,-11,0,0.0,0.0,0.0,0.003897,0.0,,0,100,43,44,0.0,0.016349,-1
7490,-1,,2,0,2,-11,0,-11,0,0.0,0.0,0.0,0.003897,0.0,,0,99,44,44,0.0,0.016349,-1
7486,-1,,2,0,2,-11,0,-11,0,0.0,0.0,0.0,0.003897,0.0,,0,98,45,44,0.0,0.016349,-1
7488,-1,,2,0,2,-11,0,-11,0,0.0,0.0,0.0,0.003897,0.0,,0,97,46,44,0.0,0.016349,-1
7497,-1,,2,0,2,-11,0,-11,0,0.0,0.0,0.0,0.003971,0.0,,0,71,87,80,1.0,0.018009,-1
245,-1,,25,31,56,33,-44,-11,6,0.336748,0.358238,0.000771,0.032636,0.04036,,0,506,13,80,0.168254,0.146295,0
7514,-1,,9,6,15,-15,5,-10,7,0.286009,0.300023,0.000296,0.016313,0.005334,,0,506,12,74,0.325758,0.079855,0
7507,-1,,4,3,7,-13,3,-10,7,0.255384,0.264093,5e-06,0.007983,0.001317,,0,506,14,28,0.25,0.038809,0
7501,-1,,3,2,5,-12,2,-10,6,0.284791,0.298403,0.0,0.007343,0.004704,,0,506,14,63,0.666667,0.036964,0
7480,-1,,1,0,1,-10,0,-10,0,0.0,0.0,0.0,0.002995,0.0,,0,271,17,67,0.0,0.015551,-1
7477,-1,,1,0,1,-10,0,-10,0,0.0,0.0,0.0,0.002995,0.0,,0,270,20,67,0.0,0.015551,-1
7475,-1,,1,0,1,-10,0,-10,0,0.0,0.0,0.0,0.003621,0.0,,0,203,54,44,0.0,0.01547,-1
7474,-1,,1,0,1,-10,0,-10,0,0.0,0.0,0.0,0.003621,0.0,,0,202,55,44,0.0,0.01547,-1
7470,-1,,1,0,1,-10,0,-10,0,0.0,0.0,0.0,0.003621,0.0,,0,200,58,44,0.0,0.01547,-1
7459,-1,,1,0,1,-10,0,-10,0,0.0,0.0,0.0,0.003621,0.0,,0,199,59,44,0.0,0.01547,-1
7472,-1,,1,0,1,-10,0,-10,0,0.0,0.0,0.0,0.003621,0.0,,0,198,60,44,0.0,0.01547,-1
7471,-1,,1,0,1,-10,0,-10,0,0.0,0.0,0.0,0.003621,0.0,,0,197,61,44,0.0,0.01547,-1
7478,-1,,1,0,1,-10,0,-10,0,0.0,0.0,0.0,0.001218,0.0,,0,415,67,74,0.0,0.009067,-1
7448,-1,,1,0,1,-10,0,-10,0,0.0,0.0,0.0,0.001267,0.0,,0,57,74,28,0.0,0.006004,-1
7454,-1,,1,0,1,-10,0,-10,0,0.0,0.0,0.0,0.001199,0.0,,0,82,75,5,0.0,0.005341,-1
7463,-1,,1,0,1,-10,0,-10,0,0.0,0.0,0.0,0.001047,0.0,,0,43,78,80,0.0,0.005231,-1
7464,-1,,1,0,1,-10,0,-10,0,0.0,0.0,0.0,0.001667,0.0,,0,124,82,81,0.0,0.007927,-1
7473,-1,,1,0,1,-10,0,-10,0,0.0,0.0,0.0,0.00132,0.0,,0,73,83,31,0.0,0.006577,-1
7469,-1,,1,0,1,-10,0,-10,0,0.0,0.0,0.0,0.001243,0.0,,0,127,86,28,0.0,0.006584,-1
7451,-1,,3,0,3,-10,0,-10,0,0.0,0.0,0.0,0.001447,0.0,,0,45,11,58,0.0,0.006916,-1
7460,-1,,1,0,1,-10,0,-10,0,0.0,0.0,0.0,0.000983,0.0,,0,14,95,94,0.0,0.005745,-1
7467,-1,,1,0,1,-10,0,-10,0,0.0,0.0,0.0,0.000545,0.0,,0,38,99,50,0.0,0.002883,-1
7453,-1,,1,0,1,-10,0,-10,0,0.0,0.0,0.0,8e-05,0.0,,0,32,103,9,0.0,0.000563,-1
7458,-1,,1,0,1,-10,0,-10,0,0.0,0.0,0.0,0.00023,0.0,,0,125,106,47,0.0,0.001199,-1
7450,-1,,1,0,1,-10,0,-10,0,0.0,0.0,0.0,0.0,0.0,,0,36,111,93,0.0,3.2e-05,-1
7462,-1,,1,0,1,-10,0,-10,0,0.0,0.0,0.0,0.000257,0.0,,0,288,113,49,0.0,0.000462,-1
7465,-1,,1,0,1,-10,0,-10,0,0.0,0.0,0.0,0.0,0.0,,4,538,120,105,0.0,2.4e-05,-1
5029,-1,,0,1,1,0,-10,-10,7,0.24813,0.257287,0.0,0.0,0.000675,,0,537,116,3,0.0,0.0,-1
5837,-1,,0,1,1,0,-10,-10,1,1.0,1.0,0.0,0.0,0.0,,4,539,119,105,0.0,0.0,-1
7532,-1,,4,1,5,-19,10,-9,7,0.219804,0.225471,0.0,0.006485,0.000143,,0,506,18,67,0.583333,0.025244,1
7508,-1,,3,1,4,-14,5,-9,8,0.203608,0.207984,1.8e-05,0.003861,2.2e-05,,0,506,2,96,0.0,0.021615,0
7504,-1,,4,3,7,-13,4,-9,7,0.273444,0.284026,3.5e-05,0.005265,0.001488,,0,506,14,17,0.1,0.027283,0
7482,-1,,4,2,6,-11,2,-9,7,0.28209,0.295288,0.000267,0.00883,0.003846,,0,506,7,13,0.333333,0.047285,1
7479,-1,,1,1,2,-10,1,-9,7,0.262432,0.273298,0.0,0.002995,0.000937,,0,506,3,16,0.5,0.015551,0
7456,-1,,1,1,2,-10,1,-9,7,0.269646,0.279978,0.0,0.001199,0.000958,,0,506,1,5,0.0,0.005341,0
7468,-1,,1,1,2,-10,1,-9,7,0.25765,0.266857,0.0,0.001243,0.001305,,0,506,13,28,0.0,0.006584,0
7449,-1,,1,1,2,-10,1,-9,8,0.225791,0.230909,0.0,6e-05,8.9e-05,,0,506,8,17,0.0,0.000563,1
7452,-1,,1,1,2,-10,1,-9,1,1.0,1.0,0.0,1.5e-05,3.4e-05,,0,290,11,58,0.0,0.000122,1
7446,-1,,2,0,2,-9,0,-9,0,0.0,0.0,0.0,0.007542,0.0,,0,59,14,59,1.0,0.037706,-1
7439,-1,,2,0,2,-9,0,-9,0,0.0,0.0,0.0,0.000836,0.0,,0,49,6,52,0.0,0.005121,-1
7437,-1,,2,0,2,-9,0,-9,0,0.0,0.0,0.0,0.00019,0.0,,0,47,14,2,0.0,0.001137,-1
7441,-1,,1,0,1,-9,0,-9,0,0.0,0.0,0.0,0.000258,0.0,,0,295,102,50,0.0,0.002141,-1
647,-1,,7,17,24,13,-22,-9,6,0.326878,0.343177,0.000465,0.018271,0.017504,,0,506,8,74,0.147059,0.082013,0
7447,-1,,2,1,3,-9,1,-8,7,0.235809,0.241908,5e-06,0.003178,0.000217,,0,506,1,70,0.0,0.016541,1
7425,-1,,3,0,3,-8,0,-8,0,0.0,0.0,0.0,0.008275,0.0,,0,8,5,83,0.666667,0.045267,-1
3002,-1,,1,2,3,1,-9,-8,7,0.279731,0.293202,0.0,0.003716,0.003851,,0,506,15,93,1.0,0.019042,0
2787,-1,,1,2,3,1,-9,-8,7,0.295318,0.306901,3e-06,0.003341,0.003359,,0,506,14,28,0.0,0.017061,1
3180,-1,,1,2,3,1,-9,-8,7,0.264059,0.275931,7e-06,0.001218,0.001924,,0,506,12,74,0.0,0.009067,1
3270,-1,,1,2,3,1,-9,-8,7,0.246822,0.254682,1e-06,0.000678,0.00091,,0,506,13,70,0.0,0.004251,1
2655,-1,,1,2,3,1,-9,-8,7,0.245383,0.252019,0.0,0.00014,0.000314,,0,506,14,9,0.0,0.000687,1
2408,-1,,5,1,6,2,-10,-8,7,0.279148,0.292463,5e-06,0.013239,0.003646,,0,506,8,48,0.6,0.063018,1
7530,-1,,3,3,6,-19,12,-7,8,0.233589,0.240248,0.000276,0.00504,0.000506,,0,506,13,65,0.45,0.025665,0
7525,-1,,13,9,22,-18,11,-7,6,0.287655,0.302166,4.4e-05,0.018962,0.008414,,0,506,15,65,0.275641,0.100029,0
7522,-1,,4,1,5,-17,10,-7,7,0.219804,0.225471,0.0,0.006485,0.000143,,0,506,18,67,0.583333,0.025244,1
7523,-1,,4,1,5,-17,10,-7,7,0.219804,0.225471,0.0,0.006485,0.000143,,0,506,18,67,0.583333,0.025244,1
7506,-1,,5,2,7,-13,6,-7,1,1.0,1.0,1e-06,0.0064,0.000297,,0,19,7,8,0.433333,0.034536,0
7457,-1,,1,2,3,-10,3,-7,7,0.279585,0.291365,0.0,0.002995,0.003804,,0,506,14,49,0.833333,0.015551,0
7438,-1,,4,2,6,-9,2,-7,7,0.293721,0.305514,1e-05,0.007312,0.003369,,0,506,14,57,0.5,0.039586,0
7445,-1,,2,2,4,-9,2,-7,7,0.263985,0.274275,0.0,0.005798,0.002726,,0,506,3,30,1.0,0.029743,1
7436,-1,,3,1,4,-8,1,-7,7,0.215953,0.221056,2e-06,0.001831,5.1e-05,,0,506,13,70,0.0,0.008532,0
7430,-1,,3,1,4,-8,1,-7,9,0.189367,0.192879,0.0,0.001251,0.000119,,0,506,13,93,0.333333,0.007418,1
7414,-1,,2,0,2,-7,0,-7,0,0.0,0.0,0.0,2.2e-05,0.0,,0,3,76,52,0.5,0.000363,-1
7374,-1,,4,4,8,-2,-5,-7,7,0.24902,0.258815,0.00015,0.000456,0.000725,,0,506,8,93,0.0,0.004562,0
2380,-1,,2,7,9,2,-9,-7,7,0.29483,0.308627,5e-06,0.001319,0.006985,,0,506,13,80,0.214286,0.005263,0
2048,-1,,2,2,4,2,-9,-7,8,0.223768,0.230027,3e-06,8.3e-05,8e-05,,0,506,2,12,0.0,0.000575,0
2067,-1,,2,2,4,2,-9,-7,8,0.194246,0.19822,0.000237,2.8e-05,3e-06,,0,506,2,93,0.0,8.7e-05,0
7552,-1,,49,13,62,-23,17,-6,7,0.301934,0.316269,0.001972,0.043929,0.005953,,0,506,14,94,0.086735,0.202176,0
7499,-1,,5,4,9,-12,6,-6,7,0.293767,0.306559,0.000122,0.009517,0.004604,,0,506,13,52,0.15,0.048602,1
7442,-1,,4,3,7,-9,3,-6,7,0.286096,0.300696,2.2e-05,0.007278,0.006073,,0,506,14,80,0.2,0.038568,0
7427,-1,,3,2,5,-8,2,-6,6,0.293905,0.312699,5e-06,0.004931,0.003709,,0,506,1,2,0.333333,0.027152,0
7432,-1,,3,2,5,-8,2,-6,7,0.296463,0.311398,0.0,0.009805,0.006997,,0,506,13,38,0.833333,0.046726,1
7433,-1,,3,2,5,-8,2,-6,7,0.248179,0.257448,3e-06,0.003532,0.000467,,0,506,12,74,0.666667,0.018083,1
7435,-1,,3,2,5,-8,2,-6,7,0.250067,0.257523,3e-06,0.004248,0.000541,,0,506,13,30,0.0,0.018194,0
7434,-1,,3,2,5,-8,2,-6,6,0.285529,0.297869,2e-06,0.008794,0.002375,,0,506,13,22,0.333333,0.036659,0
7426,-1,,3,2,5,-8,2,-6,7,0.275434,0.286092,1e-06,0.004516,0.002895,,0,506,7,88,0.666667,0.026538,0
7424,-1,,3,2,5,-8,2,-6,7,0.255506,0.263368,4e-06,0.002015,0.000528,,0,506,8,45,0.333333,0.012476,1
7422,-1,,2,1,3,-7,1,-6,7,0.230826,0.237656,0.0,0.003282,0.000415,,0,506,13,25,1.0,0.009034,0
7418,-1,,2,1,3,-7,1,-6,7,0.254017,0.262609,0.0,0.002342,0.001,,0,506,13,40,0.333333,0.012225,0
7409,-1,,2,0,2,-6,0,-6,0,0.0,0.0,0.0,2.2e-05,0.0,,0,1,76,52,0.5,0.00048,-1
3097,-1,,1,2,3,1,-7,-6,7,0.240223,0.246715,5e-06,0.00014,0.000285,,0,506,97,70,0.0,0.000753,0
2391,-1,,2,3,5,2,-8,-6,6,0.29952,0.317983,0.000244,0.003563,0.003836,,0,506,1,22,0.0,0.020297,1
2101,-1,,2,3,5,2,-8,-6,7,0.256556,0.265424,0.000247,0.000797,0.00062,,0,506,8,58,0.0,0.003674,0
1778,-1,,3,2,5,3,-9,-6,7,0.271758,0.282784,0.000347,0.002463,0.002453,,0,506,7,100,0.0,0.012338,0
7562,-1,,10,8,18,-28,23,-5,7,0.311912,0.327545,0.000118,0.020136,0.01411,,0,506,14,84,0.262821,0.100588,1
7423,-1,,3,1,4,-8,3,-5,8,0.198643,0.203288,0.000331,0.006635,9e-06,,0,506,97,70,0.333333,0.031209,1
7415,-1,,15,2,17,-7,2,-5,6,0.277371,0.289387,0.000117,0.015599,0.003052,,0,506,14,54,0.228571,0.074093,1
7401,-1,,3,0,3,-5,0,-5,0,0.0,0.0,0.0,0.006423,0.0,,0,330,2,20,0.333333,0.035295,-1
